 Vector Size (Mbytes), My L1 BLAS, NETLIB L1 BLAS
                    8 ,  0.39553965059630708      ,  0.17051302364174128     
                   16 ,   1.9794756520336445      ,   2.3282110291367393     
                   32 ,   4.7715231728926533      ,   4.8035423413952190     
                   64 ,   9.4694056408984437      ,   9.4681009556351619     
                  128 ,   18.093595770405475      ,   18.605516917828620     
                  256 ,   34.706806432323233      ,   37.291806667209336     
                  512 ,   63.052622306227782      ,   73.300775185066669     
                 1024 ,   105.49910072692381      ,   139.24919298074977     
                 2048 ,   157.98715824067821      ,   251.48939336139068     
                 4096 ,   212.46601502917875      ,   427.24368672080828     
                 8192 ,   255.15890761488700      ,   657.11138668818160     
                16384 ,   281.97124610379871      ,   888.67377472297426     
                32768 ,   300.76997195127416      ,   1090.8868039820172     
                65536 ,   309.25199049710608      ,   1231.8164089497602     
               131072 ,   313.64281065728886      ,   1078.8863550355929     
               262144 ,   317.82564974944984      ,   1353.7787815901270     
               524288 ,   319.24284144657196      ,   1382.1133075740945     
              1048576 ,   317.61423614958198      ,   1387.7914119908244     
              2097152 ,   318.18384715717986      ,   1351.5004751590184     
              4194304 ,   318.58650094431351      ,   1272.4189487965461     
              8388608 ,   319.05324769117431      ,   1393.7123647947089     
             16777216 ,   299.40123254518096      ,   332.94062049233173     
             33554432 ,   253.26568656507251      ,   308.07704966677375     
             67108864 ,   292.50842417855807      ,   300.61063934924965     
            134217728 ,   90.954870728491500      ,   258.37394728549765     
            268435456 ,   171.23734239548929      ,   278.87771312967914     
            536870912 ,   180.85251625377350      ,   274.62538723264015     
