SLURM_JOB_ID=7799458
SLURM_JOB_NODELIST=cpn-k08-27-02
SLURM_NNODES=1
SLURMTMPDIR=/scratch/7799458
working directory=/user/mjmorse3/run/hw2q3/c
   1.52960000000000        50.0000000000000     
   3.04497777777777        150.000000000000     
   4.55460977777797        250.000000000000     
   6.06474855328696        350.000000000000     
   7.57388435575750        450.000000000000     
   9.08240666981069        550.000000000000     
   10.5904208709856        650.000000000000     
   12.0990430931988        750.000000000000     
   13.6057337506664        850.000000000000     
   15.1135631135414        950.000000000000     
   16.6210606192297        1050.00000000000     
   18.1288171409571        1150.00000000000     
   19.6368517009481        1250.00000000000     
   21.1443282441030        1350.00000000000     
   22.6510412049625        1450.00000000000     
   24.1585941706930        1550.00000000000     
All Done!
