SLURM_JOB_ID=7799497
SLURM_JOB_NODELIST=cpn-k08-27-02
SLURM_NNODES=1
SLURMTMPDIR=/scratch/7799497
working directory=/user/mjmorse3/run/hw2q3/c
   1.52960000000000        50.0000000000000     
   1.51537777777777        150.000000000000     
   1.50963199999999        250.000000000000     
   1.51013877551027        350.000000000000     
   1.50913580246912        450.000000000000     
   1.50852231404978        550.000000000000     
   1.50801420118365        650.000000000000     
   1.50862222222261        750.000000000000     
   1.50669065743968        850.000000000000     
   1.50782936288084        950.000000000000     
   1.50749750566897        1050.00000000000     
   1.50775652174019        1150.00000000000     
   1.50803456000072        1250.00000000000     
   1.50747654321179        1350.00000000000     
   1.50671296076251        1450.00000000000     
   1.50755296565765        1550.00000000000     
All Done!
