             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7300717  largemem wrfD3-02 xiangyuj CG      32:54      1 cpn-f07-34
           7335646 general-c 6Lid866/ yudhajit PD       0:00      1 (Priority)
           7335649 general-c 6Lid867/ yudhajit PD       0:00      1 (Priority)
           7335650 general-c 6Lid868/ yudhajit PD       0:00      1 (Priority)
           7335651 general-c 6Lid869/ yudhajit PD       0:00      1 (Priority)
           7335652 general-c  6Lid87/ yudhajit PD       0:00      1 (Priority)
           7335653 general-c 6Lid870/ yudhajit PD       0:00      1 (Priority)
           7335654 general-c 6Lid871/ yudhajit PD       0:00      1 (Priority)
           7335655 general-c 6Lid872/ yudhajit PD       0:00      1 (Priority)
           7335656 general-c 6Lid873/ yudhajit PD       0:00      1 (Priority)
           7335657 general-c 6Lid874/ yudhajit PD       0:00      1 (Priority)
           7335658 general-c 6Lid875/ yudhajit PD       0:00      1 (Priority)
           7335659 general-c 6Lid876/ yudhajit PD       0:00      1 (Priority)
           7335660 general-c 6Lid877/ yudhajit PD       0:00      1 (Priority)
           7335661 general-c 6Lid878/ yudhajit PD       0:00      1 (Priority)
           7335662 general-c 6Lid879/ yudhajit PD       0:00      1 (Priority)
           7335663 general-c  6Lid88/ yudhajit PD       0:00      1 (Priority)
           7335664 general-c 6Lid880/ yudhajit PD       0:00      1 (Priority)
           7335665 general-c 6Lid881/ yudhajit PD       0:00      1 (Priority)
           7335666 general-c 6Lid882/ yudhajit PD       0:00      1 (Priority)
           7335667 general-c 6Lid883/ yudhajit PD       0:00      1 (Priority)
           7335668 general-c 6Lid884/ yudhajit PD       0:00      1 (Priority)
           7335669 general-c 6Lid885/ yudhajit PD       0:00      1 (Priority)
           7335670 general-c 6Lid886/ yudhajit PD       0:00      1 (Priority)
           7335671 general-c 6Lid887/ yudhajit PD       0:00      1 (Priority)
           7335672 general-c 6Lid888/ yudhajit PD       0:00      1 (Priority)
           7335673 general-c 6Lid889/ yudhajit PD       0:00      1 (Priority)
           7335674 general-c  6Lid89/ yudhajit PD       0:00      1 (Priority)
           7335675 general-c 6Lid890/ yudhajit PD       0:00      1 (Priority)
           7335676 general-c 6Lid891/ yudhajit PD       0:00      1 (Priority)
           7335677 general-c 6Lid892/ yudhajit PD       0:00      1 (Priority)
           7335678 general-c 6Lid893/ yudhajit PD       0:00      1 (Priority)
           7335679 general-c 6Lid894/ yudhajit PD       0:00      1 (Priority)
           7335680 general-c 6Lid895/ yudhajit PD       0:00      1 (Priority)
           7335681 general-c 6Lid896/ yudhajit PD       0:00      1 (Priority)
           7335682 general-c 6Lid897/ yudhajit PD       0:00      1 (Priority)
           7335683 general-c 6Lid898/ yudhajit PD       0:00      1 (Priority)
           7335684 general-c 6Lid899/ yudhajit PD       0:00      1 (Priority)
           7335685 general-c   6Lid9/ yudhajit PD       0:00      1 (Priority)
           7335686 general-c  6Lid90/ yudhajit PD       0:00      1 (Priority)
           7335687 general-c 6Lid900/ yudhajit PD       0:00      1 (Priority)
           7335688 general-c 6Lid901/ yudhajit PD       0:00      1 (Priority)
           7335689 general-c 6Lid902/ yudhajit PD       0:00      1 (Priority)
           7335690 general-c 6Lid903/ yudhajit PD       0:00      1 (Priority)
           7335691 general-c 6Lid904/ yudhajit PD       0:00      1 (Priority)
           7335692 general-c 6Lid905/ yudhajit PD       0:00      1 (Priority)
           7335693 general-c 6Lid906/ yudhajit PD       0:00      1 (Priority)
           7335694 general-c 6Lid907/ yudhajit PD       0:00      1 (Priority)
           7335695 general-c 6Lid908/ yudhajit PD       0:00      1 (Priority)
           7335698 general-c 6Lid909/ yudhajit PD       0:00      1 (Priority)
           7335710 general-c  6Lid91/ yudhajit PD       0:00      1 (Priority)
           7335723 general-c 6Lid910/ yudhajit PD       0:00      1 (Priority)
           7335725 general-c 6Lid911/ yudhajit PD       0:00      1 (Priority)
           7335726 general-c 6Lid912/ yudhajit PD       0:00      1 (Priority)
           7335727 general-c 6Lid913/ yudhajit PD       0:00      1 (Priority)
           7335728 general-c 6Lid914/ yudhajit PD       0:00      1 (Priority)
           7335729 general-c 6Lid915/ yudhajit PD       0:00      1 (Priority)
           7335730 general-c 6Lid916/ yudhajit PD       0:00      1 (Priority)
           7335731 general-c 6Lid917/ yudhajit PD       0:00      1 (Priority)
           7335732 general-c 6Lid918/ yudhajit PD       0:00      1 (Priority)
           7335733 general-c 6Lid919/ yudhajit PD       0:00      1 (Priority)
           7335734 general-c  6Lid92/ yudhajit PD       0:00      1 (Priority)
           7335735 general-c 6Lid920/ yudhajit PD       0:00      1 (Priority)
           7335736 general-c 6Lid921/ yudhajit PD       0:00      1 (Priority)
           7335737 general-c 6Lid922/ yudhajit PD       0:00      1 (Priority)
           7335738 general-c 6Lid923/ yudhajit PD       0:00      1 (Priority)
           7335739 general-c 6Lid924/ yudhajit PD       0:00      1 (Priority)
           7335740 general-c 6Lid925/ yudhajit PD       0:00      1 (Priority)
           7335741 general-c 6Lid926/ yudhajit PD       0:00      1 (Priority)
           7335742 general-c 6Lid927/ yudhajit PD       0:00      1 (Priority)
           7335743 general-c 6Lid928/ yudhajit PD       0:00      1 (Priority)
           7335744 general-c 6Lid929/ yudhajit PD       0:00      1 (Priority)
           7335745 general-c  6Lid93/ yudhajit PD       0:00      1 (Priority)
           7335746 general-c 6Lid930/ yudhajit PD       0:00      1 (Priority)
           7335747 general-c 6Lid931/ yudhajit PD       0:00      1 (Priority)
           7335748 general-c 6Lid932/ yudhajit PD       0:00      1 (Priority)
           7335749 general-c 6Lid933/ yudhajit PD       0:00      1 (Priority)
           7335750 general-c 6Lid934/ yudhajit PD       0:00      1 (Priority)
           7335751 general-c 6Lid935/ yudhajit PD       0:00      1 (Priority)
           7335752 general-c 6Lid936/ yudhajit PD       0:00      1 (Priority)
           7335753 general-c 6Lid937/ yudhajit PD       0:00      1 (Priority)
           7335754 general-c 6Lid938/ yudhajit PD       0:00      1 (Priority)
           7335755 general-c 6Lid939/ yudhajit PD       0:00      1 (Priority)
           7335756 general-c  6Lid94/ yudhajit PD       0:00      1 (Priority)
           7335757 general-c 6Lid940/ yudhajit PD       0:00      1 (Priority)
           7335758 general-c 6Lid941/ yudhajit PD       0:00      1 (Priority)
           7335759 general-c 6Lid942/ yudhajit PD       0:00      1 (Priority)
           7335766 general-c 6Lid943/ yudhajit PD       0:00      1 (Priority)
           7335767 general-c 6Lid944/ yudhajit PD       0:00      1 (Priority)
           7335768 general-c 6Lid945/ yudhajit PD       0:00      1 (Priority)
           7335769 general-c 6Lid946/ yudhajit PD       0:00      1 (Priority)
           7335770 general-c 6Lid947/ yudhajit PD       0:00      1 (Priority)
           7335771 general-c 6Lid948/ yudhajit PD       0:00      1 (Priority)
           7335772 general-c 6Lid949/ yudhajit PD       0:00      1 (Priority)
           7335773 general-c  6Lid95/ yudhajit PD       0:00      1 (Priority)
           7335774 general-c 6Lid950/ yudhajit PD       0:00      1 (Priority)
           7335775 general-c 6Lid951/ yudhajit PD       0:00      1 (Priority)
           7335776 general-c 6Lid952/ yudhajit PD       0:00      1 (Priority)
           7335777 general-c 6Lid953/ yudhajit PD       0:00      1 (Priority)
           7335778 general-c 6Lid954/ yudhajit PD       0:00      1 (Priority)
           7335779 general-c 6Lid955/ yudhajit PD       0:00      1 (Priority)
           7335780 general-c 6Lid956/ yudhajit PD       0:00      1 (Priority)
           7335781 general-c 6Lid957/ yudhajit PD       0:00      1 (Priority)
           7335782 general-c 6Lid958/ yudhajit PD       0:00      1 (Priority)
           7335783 general-c 6Lid959/ yudhajit PD       0:00      1 (Priority)
           7335784 general-c  6Lid96/ yudhajit PD       0:00      1 (Priority)
           7335785 general-c 6Lid960/ yudhajit PD       0:00      1 (Priority)
           7335786 general-c 6Lid961/ yudhajit PD       0:00      1 (Priority)
           7335787 general-c 6Lid962/ yudhajit PD       0:00      1 (Priority)
           7335788 general-c 6Lid963/ yudhajit PD       0:00      1 (Priority)
           7335789 general-c 6Lid964/ yudhajit PD       0:00      1 (Priority)
           7335790 general-c 6Lid965/ yudhajit PD       0:00      1 (Priority)
           7335791 general-c 6Lid966/ yudhajit PD       0:00      1 (Priority)
           7335792 general-c 6Lid967/ yudhajit PD       0:00      1 (Priority)
           7335820 general-c 6Lid968/ yudhajit PD       0:00      1 (Priority)
           7335822 general-c 6Lid969/ yudhajit PD       0:00      1 (Priority)
           7335823 general-c  6Lid97/ yudhajit PD       0:00      1 (Priority)
           7335824 general-c 6Lid970/ yudhajit PD       0:00      1 (Priority)
           7335825 general-c 6Lid971/ yudhajit PD       0:00      1 (Priority)
           7335826 general-c 6Lid972/ yudhajit PD       0:00      1 (Priority)
           7335827 general-c 6Lid973/ yudhajit PD       0:00      1 (Priority)
           7335828 general-c 6Lid974/ yudhajit PD       0:00      1 (Priority)
           7335829 general-c 6Lid975/ yudhajit PD       0:00      1 (Priority)
           7335830 general-c 6Lid976/ yudhajit PD       0:00      1 (Priority)
           7335831 general-c 6Lid977/ yudhajit PD       0:00      1 (Priority)
           7335832 general-c 6Lid978/ yudhajit PD       0:00      1 (Priority)
           7335833 general-c 6Lid979/ yudhajit PD       0:00      1 (Priority)
           7335834 general-c  6Lid98/ yudhajit PD       0:00      1 (Priority)
           7335835 general-c 6Lid980/ yudhajit PD       0:00      1 (Priority)
           7335836 general-c 6Lid981/ yudhajit PD       0:00      1 (Priority)
           7335837 general-c 6Lid982/ yudhajit PD       0:00      1 (Priority)
           7335838 general-c 6Lid983/ yudhajit PD       0:00      1 (Priority)
           7335839 general-c 6Lid984/ yudhajit PD       0:00      1 (Priority)
           7335840 general-c 6Lid985/ yudhajit PD       0:00      1 (Priority)
           7335841 general-c 6Lid986/ yudhajit PD       0:00      1 (Priority)
           7335842 general-c 6Lid987/ yudhajit PD       0:00      1 (Priority)
           7335843 general-c 6Lid988/ yudhajit PD       0:00      1 (Priority)
           7335844 general-c 6Lid989/ yudhajit PD       0:00      1 (Priority)
           7335845 general-c  6Lid99/ yudhajit PD       0:00      1 (Priority)
           7335846 general-c 6Lid990/ yudhajit PD       0:00      1 (Priority)
           7335847 general-c 6Lid991/ yudhajit PD       0:00      1 (Priority)
           7335848 general-c 6Lid992/ yudhajit PD       0:00      1 (Priority)
           7335849 general-c 6Lid993/ yudhajit PD       0:00      1 (Priority)
           7335850 general-c 6Lid994/ yudhajit PD       0:00      1 (Priority)
           7335851 general-c 6Lid995/ yudhajit PD       0:00      1 (Priority)
           7335852 general-c 6Lid996/ yudhajit PD       0:00      1 (Priority)
           7335853 general-c 6Lid997/ yudhajit PD       0:00      1 (Priority)
           7335854 general-c 6Lid998/ yudhajit PD       0:00      1 (Priority)
           7335855 general-c 6Lid999/ yudhajit PD       0:00      1 (Priority)
           7336200 general-c CF34_fg8 yudhajit PD       0:00      1 (Priority)
           7336318 general-c CF34_fg8 yudhajit PD       0:00      1 (Priority)
           7336321 general-c CF34_fg6 yudhajit PD       0:00      1 (Priority)
           7336323 general-c CF34_fg6 yudhajit PD       0:00      1 (Priority)
           7336611 general-c CF34_fg5 yudhajit PD       0:00      1 (Priority)
           7336688 general-c CF34_fg5 yudhajit PD       0:00      1 (Priority)
           7336691 general-c CF34_fg9 yudhajit PD       0:00      1 (Priority)
           7336693 general-c CF34_fg9 yudhajit PD       0:00      1 (Priority)
           7336749 general-c CF34_fg1 yudhajit PD       0:00      1 (Priority)
           7336750 general-c CF34_fg1 yudhajit PD       0:00      1 (Priority)
           7336751 general-c CF34_fg4 yudhajit PD       0:00      1 (Priority)
           7336752 general-c CF34_fg4 yudhajit PD       0:00      1 (Priority)
           7336946 general-c CF34_fg7 yudhajit PD       0:00      1 (Priority)
           7336949 general-c CF34_fg7 yudhajit PD       0:00      1 (Priority)
           7336957 general-c CF34_fg1 yudhajit PD       0:00      1 (Priority)
           7336958 general-c CF34_fg1 yudhajit PD       0:00      1 (Priority)
           7336962 general-c CF34_fg5 yudhajit PD       0:00      1 (Priority)
           7336963 general-c CF34_fg5 yudhajit PD       0:00      1 (Priority)
           7336964 general-c CF34_fg4 yudhajit PD       0:00      1 (Priority)
           7336965 general-c CF34_fg4 yudhajit PD       0:00      1 (Priority)
           7336968 general-c CF34_fg1 yudhajit PD       0:00      1 (Priority)
           7336971 general-c CF34_fg1 yudhajit PD       0:00      1 (Priority)
           7336972 general-c CF34_fg2 yudhajit PD       0:00      1 (Priority)
           7336976 general-c CF34_fg2 yudhajit PD       0:00      1 (Priority)
           7336977 general-c CF34_fg8 yudhajit PD       0:00      1 (Priority)
           7336981 general-c CF34_fg8 yudhajit PD       0:00      1 (Priority)
           7336982 general-c CF34_fg7 yudhajit PD       0:00      1 (Priority)
           7336985 general-c CF34_fg7 yudhajit PD       0:00      1 (Priority)
           7336987 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337003 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337005 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337006 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337007 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337014 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337015 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337018 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337019 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337022 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337023 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337025 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337029 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337030 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337031 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337033 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337039 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337040 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337044 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337045 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337047 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337048 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337050 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337053 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337058 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337060 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337065 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337066 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337068 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337070 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337071 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337072 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337073 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337074 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337115 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337117 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337200 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337280 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337281 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337355 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337356 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337369 general-c Li_small yudhajit PD       0:00      1 (Priority)
           7337449 general-c CN1_fg3_ yudhajit PD       0:00      1 (Priority)
           7337454 general-c CN1_fg3_ yudhajit PD       0:00      1 (Priority)
           7337466 general-c CN1_fg6_ yudhajit PD       0:00      1 (Priority)
           7337541 general-c CN1_fg6_ yudhajit PD       0:00      1 (Priority)
           7337561 general-c CN1_fg2_ yudhajit PD       0:00      1 (Priority)
           7337632 general-c CN1_fg2_ yudhajit PD       0:00      1 (Priority)
           7337638 general-c CN1_fgba yudhajit PD       0:00      1 (Priority)
           7337639 general-c CN1_fgba yudhajit PD       0:00      1 (Priority)
           7337788 general-c CN1_fg3_ yudhajit PD       0:00      1 (Priority)
           7337797 general-c CN1_fg3_ yudhajit PD       0:00      1 (Priority)
           7337798 general-c CN1_fg10 yudhajit PD       0:00      1 (Priority)
           7337877 general-c CN1_fg10 yudhajit PD       0:00      1 (Priority)
           7337965 general-c CN1_fg9_ yudhajit PD       0:00      1 (Priority)
           7337966 general-c CN1_fg9_ yudhajit PD       0:00      1 (Priority)
           7337967 general-c CN1_fg8_ yudhajit PD       0:00      1 (Priority)
           7338036 general-c CN1_fg8_ yudhajit PD       0:00      1 (Priority)
           7338058 general-c CN1_fg6_ yudhajit PD       0:00      1 (Priority)
           7338059 general-c CN1_fg6_ yudhajit PD       0:00      1 (Priority)
           7338110 general-c CN1_fg5_ yudhajit PD       0:00      1 (Priority)
           7338225 general-c CN1_fg5_ yudhajit PD       0:00      1 (Priority)
           7338226 general-c CN1_fg9_ yudhajit PD       0:00      1 (Priority)
           7338229 general-c CN1_fg9_ yudhajit PD       0:00      1 (Priority)
           7338235 general-c CN1_fg10 yudhajit PD       0:00      1 (Priority)
           7338266 general-c CN1_fg10 yudhajit PD       0:00      1 (Priority)
           7338268 general-c CN1_fg4_ yudhajit PD       0:00      1 (Priority)
           7338269 general-c CN1_fg4_ yudhajit PD       0:00      1 (Priority)
           7338287 general-c CN1_fg7_ yudhajit PD       0:00      1 (Priority)
           7338288 general-c CN1_fg7_ yudhajit PD       0:00      1 (Priority)
           7338289 general-c CN1_fg1_ yudhajit PD       0:00      1 (Priority)
           7338290 general-c CN1_fg1_ yudhajit PD       0:00      1 (Priority)
           7338302 general-c CN1_fg5_ yudhajit PD       0:00      1 (Priority)
           7338303 general-c CN1_fg5_ yudhajit PD       0:00      1 (Priority)
           7338304 general-c CN1_fg4_ yudhajit PD       0:00      1 (Priority)
           7338307 general-c CN1_fg4_ yudhajit PD       0:00      1 (Priority)
           7338308 general-c CN1_fg1_ yudhajit PD       0:00      1 (Priority)
           7338320 general-c CN1_fg1_ yudhajit PD       0:00      1 (Priority)
           7338321 general-c CN1_fg2_ yudhajit PD       0:00      1 (Priority)
           7338322 general-c CN1_fg2_ yudhajit PD       0:00      1 (Priority)
           7338323 general-c CN1_fg8_ yudhajit PD       0:00      1 (Priority)
           7338326 general-c CN1_fg8_ yudhajit PD       0:00      1 (Priority)
           7338336 general-c CN1_fg7_ yudhajit PD       0:00      1 (Priority)
           7338337 general-c CN1_fg7_ yudhajit PD       0:00      1 (Priority)
           7338361 general-c CN2_fg3_ yudhajit PD       0:00      1 (Priority)
           7338369 general-c CN2_fg3_ yudhajit PD       0:00      1 (Priority)
           7338370 general-c CN2_fg6_ yudhajit PD       0:00      1 (Priority)
           7338371 general-c CN2_fg6_ yudhajit PD       0:00      1 (Priority)
           7338391 general-c CN2_fg2_ yudhajit PD       0:00      1 (Priority)
           7338404 general-c CN2_fg2_ yudhajit PD       0:00      1 (Priority)
           7338405 general-c CN2_fgba yudhajit PD       0:00      1 (Priority)
           7338420 general-c CN2_fgba yudhajit PD       0:00      1 (Priority)
           7338421 general-c CN2_fg3_ yudhajit PD       0:00      1 (Priority)
           7338425 general-c CN2_fg3_ yudhajit PD       0:00      1 (Priority)
           7338426 general-c CN2_fg10 yudhajit PD       0:00      1 (Priority)
           7338438 general-c CN2_fg10 yudhajit PD       0:00      1 (Priority)
           7338451 general-c CN2_fg9_ yudhajit PD       0:00      1 (Priority)
           7338453 general-c CN2_fg9_ yudhajit PD       0:00      1 (Priority)
           7338454 general-c CN2_fg8_ yudhajit PD       0:00      1 (Priority)
           7338476 general-c CN2_fg8_ yudhajit PD       0:00      1 (Priority)
           7338477 general-c CN2_fg6_ yudhajit PD       0:00      1 (Priority)
           7338493 general-c CN2_fg6_ yudhajit PD       0:00      1 (Priority)
           7338494 general-c CN2_fg5_ yudhajit PD       0:00      1 (Priority)
           7338497 general-c CN2_fg5_ yudhajit PD       0:00      1 (Priority)
           7338531 general-c CN2_fg9_ yudhajit PD       0:00      1 (Priority)
           7338533 general-c CN2_fg9_ yudhajit PD       0:00      1 (Priority)
           7338534 general-c CN2_fg10 yudhajit PD       0:00      1 (Priority)
           7338560 general-c CN2_fg10 yudhajit PD       0:00      1 (Priority)
           7338571 general-c CN2_fg4_ yudhajit PD       0:00      1 (Priority)
           7338572 general-c CN2_fg4_ yudhajit PD       0:00      1 (Priority)
           7338578 general-c CN2_fg7_ yudhajit PD       0:00      1 (Priority)
           7338581 general-c CN2_fg7_ yudhajit PD       0:00      1 (Priority)
           7338582 general-c CN2_fg1_ yudhajit PD       0:00      1 (Priority)
           7338585 general-c CN2_fg1_ yudhajit PD       0:00      1 (Priority)
           7338586 general-c CN2_fg5_ yudhajit PD       0:00      1 (Priority)
           7338587 general-c CN2_fg5_ yudhajit PD       0:00      1 (Priority)
           7338588 general-c CN2_fg4_ yudhajit PD       0:00      1 (Priority)
           7338593 general-c CN2_fg4_ yudhajit PD       0:00      1 (Priority)
           7338594 general-c CN2_fg1_ yudhajit PD       0:00      1 (Priority)
           7338604 general-c CN2_fg1_ yudhajit PD       0:00      1 (Priority)
           7338608 general-c CN2_fg2_ yudhajit PD       0:00      1 (Priority)
           7338619 general-c CN2_fg2_ yudhajit PD       0:00      1 (Priority)
           7338631 general-c CN2_fg8_ yudhajit PD       0:00      1 (Priority)
           7338662 general-c CN2_fg8_ yudhajit PD       0:00      1 (Priority)
           7338667 general-c CN2_fg7_ yudhajit PD       0:00      1 (Priority)
           7338671 general-c CN2_fg7_ yudhajit PD       0:00      1 (Priority)
           7338672 general-c CN4_fg3_ yudhajit PD       0:00      1 (Priority)
           7338674 general-c CN4_fg3_ yudhajit PD       0:00      1 (Priority)
           7338676 general-c CN4_fg6_ yudhajit PD       0:00      1 (Priority)
           7338677 general-c CN4_fg6_ yudhajit PD       0:00      1 (Priority)
           7338678 general-c CN4_fg2_ yudhajit PD       0:00      1 (Priority)
           7338682 general-c CN4_fg2_ yudhajit PD       0:00      1 (Priority)
           7338684 general-c CN4_fgba yudhajit PD       0:00      1 (Priority)
           7338686 general-c CN4_fgba yudhajit PD       0:00      1 (Priority)
           7338687 general-c CN4_fg3_ yudhajit PD       0:00      1 (Priority)
           7338691 general-c CN4_fg3_ yudhajit PD       0:00      1 (Priority)
           7338693 general-c CN4_fg10 yudhajit PD       0:00      1 (Priority)
           7338694 general-c CN4_fg10 yudhajit PD       0:00      1 (Priority)
           7338695 general-c CN4_fg9_ yudhajit PD       0:00      1 (Priority)
           7338701 general-c CN4_fg9_ yudhajit PD       0:00      1 (Priority)
           7338702 general-c CN4_fg8_ yudhajit PD       0:00      1 (Priority)
           7338703 general-c CN4_fg8_ yudhajit PD       0:00      1 (Priority)
           7338706 general-c CN4_fg6_ yudhajit PD       0:00      1 (Priority)
           7338718 general-c CN4_fg6_ yudhajit PD       0:00      1 (Priority)
           7338730 general-c CN4_fg5_ yudhajit PD       0:00      1 (Priority)
           7338744 general-c CN4_fg5_ yudhajit PD       0:00      1 (Priority)
           7338745 general-c CN4_fg9_ yudhajit PD       0:00      1 (Priority)
           7338746 general-c CN4_fg9_ yudhajit PD       0:00      1 (Priority)
           7338747 general-c CN4_fg10 yudhajit PD       0:00      1 (Priority)
           7338755 general-c CN4_fg10 yudhajit PD       0:00      1 (Priority)
           7338756 general-c CN4_fg4_ yudhajit PD       0:00      1 (Priority)
           7338768 general-c CN4_fg4_ yudhajit PD       0:00      1 (Priority)
           7338769 general-c CN4_fg7_ yudhajit PD       0:00      1 (Priority)
           7338770 general-c CN4_fg7_ yudhajit PD       0:00      1 (Priority)
           7338771 general-c CN4_fg1_ yudhajit PD       0:00      1 (Priority)
           7338776 general-c CN4_fg1_ yudhajit PD       0:00      1 (Priority)
           7338781 general-c CN4_fg5_ yudhajit PD       0:00      1 (Priority)
           7338782 general-c CN4_fg5_ yudhajit PD       0:00      1 (Priority)
           7338783 general-c CN4_fg4_ yudhajit PD       0:00      1 (Priority)
           7338786 general-c CN4_fg4_ yudhajit PD       0:00      1 (Priority)
           7338791 general-c CN4_fg1_ yudhajit PD       0:00      1 (Priority)
           7338797 general-c CN4_fg1_ yudhajit PD       0:00      1 (Priority)
           7338798 general-c CN4_fg2_ yudhajit PD       0:00      1 (Priority)
           7338817 general-c CN4_fg2_ yudhajit PD       0:00      1 (Priority)
           7338818 general-c CN4_fg8_ yudhajit PD       0:00      1 (Priority)
           7338819 general-c CN4_fg8_ yudhajit PD       0:00      1 (Priority)
           7338832 general-c CN4_fg7_ yudhajit PD       0:00      1 (Priority)
           7338842 general-c CN4_fg7_ yudhajit PD       0:00      1 (Priority)
           7338843 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338852 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338853 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338854 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338861 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338879 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338880 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338887 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338888 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338900 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338903 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338925 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338934 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338935 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338936 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338945 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338972 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7338986 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339006 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339007 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339008 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339050 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339051 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339074 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339075 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339078 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339098 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339102 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339104 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339105 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339106 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339108 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339561 general-c bp_mut14 sushreet PD       0:00      4 (Priority)
           7339562 general-c bp_mut14 sushreet PD       0:00      4 (Priority)
           7339112 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339113 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339114 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339115 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339116 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339117 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339124 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339126 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339129 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339130 general-c COOH1_fg yudhajit PD       0:00      1 (Priority)
           7339131 general-c COOH2_fg yudhajit PD       0:00      1 (Priority)
