 vector size (bytes) ,time (s)
       17701 ,  3.099441528320312E-005
       17801 ,  3.218650817871094E-005
       17901 ,  3.218650817871094E-005
       18001 ,  3.385543823242188E-005
       18101 ,  3.194808959960938E-005
       18201 ,  3.385543823242188E-005
       18301 ,  3.695487976074219E-005
       18401 ,  3.409385681152344E-005
       18501 ,  3.409385681152344E-005
       18601 ,  3.385543823242188E-005
       18701 ,  3.194808959960938E-005
       18801 ,  3.290176391601562E-005
       18901 ,  3.910064697265625E-005
       19001 ,  3.600120544433594E-005
       19101 ,  3.290176391601562E-005
       19201 ,  3.600120544433594E-005
       19301 ,  3.314018249511719E-005
       19401 ,  3.314018249511719E-005
       19501 ,  3.290176391601562E-005
       19601 ,  3.409385681152344E-005
       19701 ,  3.409385681152344E-005
       19801 ,  3.504753112792969E-005
       19901 ,  3.385543823242188E-005
       20001 ,  4.005432128906250E-005
       20101 ,  3.600120544433594E-005
       20201 ,  3.886222839355469E-005
       20301 ,  3.600120544433594E-005
       20401 ,  3.504753112792969E-005
       20501 ,  3.385543823242188E-005
       20601 ,  3.480911254882812E-005
       20701 ,  3.480911254882812E-005
       20801 ,  4.100799560546875E-005
       20901 ,  3.695487976074219E-005
       21001 ,  4.100799560546875E-005
       21101 ,  3.886222839355469E-005
       21201 ,  3.886222839355469E-005
       21301 ,  3.600120544433594E-005
       21401 ,  3.600120544433594E-005
       21501 ,  3.695487976074219E-005
       21601 ,  3.695487976074219E-005
       21701 ,  3.695487976074219E-005
       21801 ,  3.695487976074219E-005
       21901 ,  6.413459777832031E-005
       22001 ,  3.719329833984375E-005
       22101 ,  4.005432128906250E-005
       22201 ,  3.695487976074219E-005
       22301 ,  4.005432128906250E-005
       22401 ,  4.100799560546875E-005
       22501 ,  4.005432128906250E-005
       22601 ,  4.005432128906250E-005
       22701 ,  4.005432128906250E-005
       22801 ,  3.695487976074219E-005
       22901 ,  3.790855407714844E-005
       23001 ,  3.790855407714844E-005
       23101 ,  4.005432128906250E-005
       23201 ,  3.910064697265625E-005
       23301 ,  4.100799560546875E-005
       23401 ,  4.005432128906250E-005
       23501 ,  3.910064697265625E-005
       23601 ,  4.100799560546875E-005
       23701 ,  4.100799560546875E-005
       23801 ,  4.005432128906250E-005
       23901 ,  4.196166992187500E-005
       24001 ,  4.196166992187500E-005
       24101 ,  4.506111145019531E-005
       24201 ,  4.291534423828125E-005
       24301 ,  4.196166992187500E-005
       24401 ,  4.005432128906250E-005
       24501 ,  3.790855407714844E-005
       24601 ,  4.005432128906250E-005
       24701 ,  4.315376281738281E-005
       24801 ,  4.100799560546875E-005
       24901 ,  3.910064697265625E-005
       25001 ,  4.100799560546875E-005
       25101 ,  4.601478576660156E-005
       25201 ,  4.601478576660156E-005
       25301 ,  4.792213439941406E-005
       25401 ,  4.386901855468750E-005
       25501 ,  4.410743713378906E-005
       25601 ,  4.386901855468750E-005
       25701 ,  4.196166992187500E-005
       25801 ,  4.196166992187500E-005
       25901 ,  4.005432128906250E-005
       26001 ,  4.196166992187500E-005
       26101 ,  4.196166992187500E-005
       26201 ,  4.696846008300781E-005
       26301 ,  4.005432128906250E-005
       26401 ,  4.482269287109375E-005
       26501 ,  4.315376281738281E-005
       26601 ,  4.291534423828125E-005
       26701 ,  4.696846008300781E-005
       26801 ,  4.816055297851562E-005
       26901 ,  4.601478576660156E-005
       27001 ,  4.506111145019531E-005
       27101 ,  4.291534423828125E-005
       27201 ,  4.601478576660156E-005
       27301 ,  4.315376281738281E-005
       27401 ,  4.696846008300781E-005
       27501 ,  4.386901855468750E-005
       27601 ,  4.410743713378906E-005
       27701 ,  4.386901855468750E-005
       27801 ,  4.506111145019531E-005
       27901 ,  4.506111145019531E-005
       28001 ,  4.792213439941406E-005
       28101 ,  4.816055297851562E-005
       28201 ,  5.102157592773438E-005
       28301 ,  1.530647277832031E-004
       28401 ,  4.816055297851562E-005
       28501 ,  4.601478576660156E-005
       28601 ,  4.506111145019531E-005
       28701 ,  4.506111145019531E-005
       28801 ,  4.601478576660156E-005
       28901 ,  4.601478576660156E-005
       29001 ,  4.601478576660156E-005
       29101 ,  4.911422729492188E-005
       29201 ,  5.197525024414062E-005
       29301 ,  4.816055297851562E-005
       29401 ,  5.006790161132812E-005
       29501 ,  4.410743713378906E-005
       29601 ,  4.696846008300781E-005
       29701 ,  4.506111145019531E-005
       29801 ,  4.506111145019531E-005
       29901 ,  4.506111145019531E-005
       30001 ,  4.506111145019531E-005
       30101 ,  4.601478576660156E-005
       30201 ,  4.696846008300781E-005
       30301 ,  5.316734313964844E-005
       30401 ,  5.507469177246094E-005
       30501 ,  4.696846008300781E-005
       30601 ,  4.601478576660156E-005
       30701 ,  4.601478576660156E-005
       30801 ,  5.102157592773438E-005
       30901 ,  4.696846008300781E-005
       31001 ,  4.696846008300781E-005
       31101 ,  4.506111145019531E-005
       31201 ,  4.696846008300781E-005
       31301 ,  5.006790161132812E-005
       31401 ,  4.792213439941406E-005
       31501 ,  5.316734313964844E-005
       31601 ,  4.720687866210938E-005
       31701 ,  7.605552673339844E-005
       31801 ,  4.816055297851562E-005
       31901 ,  4.696846008300781E-005
       32001 ,  4.792213439941406E-005
       32101 ,  4.911422729492188E-005
       32201 ,  4.601478576660156E-005
       32301 ,  5.197525024414062E-005
       32401 ,  4.911422729492188E-005
       32501 ,  5.197525024414062E-005
       32601 ,  5.316734313964844E-005
       32701 ,  5.316734313964844E-005
       32801 ,  5.221366882324219E-005
       32901 ,  4.792213439941406E-005
       33001 ,  5.507469177246094E-005
       33101 ,  5.006790161132812E-005
       33201 ,  4.887580871582031E-005
       33301 ,  6.389617919921875E-005
       33401 ,  5.817413330078125E-005
       33501 ,  6.794929504394531E-005
       33601 ,  6.890296936035156E-005
       33701 ,  7.295608520507812E-005
       33801 ,  5.698204040527344E-005
       33901 ,  5.602836608886719E-005
       34001 ,  5.888938903808594E-005
       34101 ,  5.292892456054688E-005
       34201 ,  5.102157592773438E-005
       34301 ,  5.102157592773438E-005
       34401 ,  5.412101745605469E-005
       34501 ,  6.008148193359375E-005
       34601 ,  5.698204040527344E-005
       34701 ,  5.698204040527344E-005
       34801 ,  5.102157592773438E-005
       34901 ,  5.102157592773438E-005
       35001 ,  5.102157592773438E-005
       35101 ,  5.292892456054688E-005
       35201 ,  5.292892456054688E-005
       35301 ,  5.197525024414062E-005
       35401 ,  5.602836608886719E-005
       35501 ,  5.316734313964844E-005
       35601 ,  5.698204040527344E-005
       35701 ,  5.888938903808594E-005
       35801 ,  5.793571472167969E-005
       35901 ,  5.412101745605469E-005
       36001 ,  5.197525024414062E-005
