 Vector Size (Mbytes), My L3 BLAS, NETLIB L3 BLAS
                    8 ,   7.4349442379182156      ,  0.23912003825920614     
                   32 ,   70.175438596491233      ,   40.920716112531970     
                  128 ,   132.50517598343686      ,   290.90909090909088     
                  512 ,   161.13296616837135      ,   762.47207743857030     
                 2048 ,   167.76228215682661      ,   1150.0772146567456     
                 8192 ,   166.12336566101058      ,   1241.7530363605358     
                32768 ,   163.49268023742064      ,   1294.5286825035862     
               131072 ,   146.91023650553549      ,   1269.3687270068433     
               524288 ,   115.53592958284216      ,   1312.0373162163557     
              2097152 ,   110.63848249216697      ,   1328.7608481542291     
              8388608 ,   116.54751042128177      ,   1359.6490137132573     
             33554432 ,   121.12586604801631      ,   753.05038303397021     
            134217728 ,                           ,   664.16599319682678     
